"Date","Day Length","Soil Temperature","Air Temperature"
"2017-01-26",9.78,-0.419,8.834
"2017-01-27",9.82,-0.0655,6.753
"2017-01-28",9.85,-0.6545,5.624
"2017-01-29",9.89,-0.824,9.411
"2017-01-30",9.92,-0.6115,8.57
"2017-01-31",9.96,-0.922,5.844
"2017-02-01",9.99,-0.9095,8.2855
"2017-02-02",10.03,-0.9465,9.4575
"2017-02-03",10.07,-0.913,9.9415
"2017-02-04",10.11,-0.2675,14.77
"2017-02-05",10.15,-0.841,14.26
"2017-02-06",10.18,-0.561,10.118
"2017-02-07",10.22,0.1165,10.149
"2017-02-08",10.26,-0.00649999999999995,9.882
"2017-02-09",10.3,-0.1855,11.265
"2017-02-10",10.34,-0.219,11.85
"2017-02-11",10.38,0.2975,10.739
"2017-02-12",10.42,0.331,9.799
"2017-02-13",10.47,-0.0455,10.8555
"2017-02-14",10.51,0.147,10.121
"2017-02-15",10.55,0.131,10.08
"2017-02-16",10.59,-0.3145,10.384
"2017-02-17",10.63,-0.1845,9.526
"2017-02-18",10.68,-0.4305,8.478
"2017-02-19",10.72,-0.5125,8.894
"2017-02-20",10.76,-0.6505,7.7125
"2017-02-21",10.8,-0.6565,10.44
"2017-02-22",10.85,-0.5995,9.141
"2017-02-23",10.89,-0.7285,9.279
"2017-02-24",10.93,-1.3795,9.343
"2017-02-25",10.98,-0.2855,13.15
"2017-02-26",11.02,0.186,10.85
"2017-02-27",11.07,-0.1335,12.96
"2017-02-28",11.11,0.141,12.882
"2017-03-01",11.15,0.2115,13.755
"2017-03-02",11.2,0.3355,10.9715
"2017-03-03",11.24,0.203,11.178
"2017-03-04",11.29,-0.0455,10.378
"2017-03-05",11.33,-0.291,12.593
"2017-03-06",11.38,0.085,12.51
"2017-03-07",11.42,0.327,12.815
"2017-03-08",11.46,0.572,12.18
"2017-03-09",11.51,0.466,13.785
"2017-03-10",11.55,0.626,14.785
"2017-03-11",11.6,0.5005,12.01
"2017-03-12",11.64,0.361,11.0145
"2017-03-13",11.69,0.5295,9.55
"2017-03-14",11.73,0.6455,11.253
"2017-03-15",11.78,0.3935,11.6345
"2017-03-16",11.82,0.347,12.394
"2017-03-17",11.87,0.141,13.2135
"2017-03-18",11.91,0.7395,12.128
"2017-03-19",11.96,0.146,12.861
"2017-03-20",12,0.1105,13.0635
"2017-03-21",12.05,0.349,11.649
"2017-03-22",12.09,0.8405,10.8665
"2017-03-23",12.14,0.984,13.712
"2017-03-24",12.18,1.1775,13.7685
"2017-03-25",12.23,1.414,13.539
"2017-03-26",12.27,1.262,14.132
"2017-03-27",12.32,1.4475,12.98
"2017-03-28",12.36,1.3285,12.541
"2017-03-29",12.4,1.1835,14.015
"2017-03-30",12.45,1.067,17.75
"2017-03-31",12.49,0.884,16.845
"2017-04-01",12.54,1.5475,12.5215
"2017-04-02",12.58,1.8095,14.895
"2017-04-03",12.63,2.158,13.67
"2017-04-04",12.67,1.5865,13.37
"2017-04-05",12.71,1.8595,13.65
"2017-04-06",12.76,2.2995,14.625
"2017-04-07",12.8,2.1135,12.9245
"2017-04-08",12.84,1.7015,12.68
"2017-04-09",12.89,1.7535,13.9245
"2017-04-10",12.93,1.655,12.802
"2017-04-11",12.97,1.535,12.79
"2017-04-12",13.02,1.4315,16.41
"2017-04-13",13.06,1.878,15.456
"2017-04-14",13.1,2.005,17.13
"2017-04-15",13.14,2.6785,14.295
"2017-04-16",13.18,2.5305,15.405
"2017-04-17",13.23,3.0725,14.11
"2017-04-18",13.27,2.729,13.615
"2017-04-19",13.31,2.614,10.365
"2017-04-20",13.35,2.2535,10.22
"2017-04-21",13.39,1.604,9.727
"2017-04-22",13.43,1.6945,10.856
"2017-04-23",13.47,1.5825,10.309
"2017-04-24",13.51,1.2745,12.715
"2017-04-25",13.55,2.2165,14.185
"2017-04-26",13.59,1.9455,12.9005
"2017-04-27",13.63,1.9365,15.385
"2017-04-28",13.67,1.999,16.69
"2017-04-29",13.71,2.3055,14.75
"2017-04-30",13.75,2.3335,16.61
"2017-05-01",13.78,2.677,15.87
"2017-05-02",13.82,3.013,15.281
"2017-05-03",13.86,3.3085,17.055
"2017-05-04",13.9,3.3695,14.795
"2017-05-05",13.93,3.8775,15.335
"2017-05-06",13.97,4.0885,15.51
"2017-05-07",14,3.6485,18.765
"2017-05-08",14.04,4.4285,15.33
"2017-05-09",14.07,3.4855,16.8
"2017-05-10",14.11,4.147,15.625
"2017-05-11",14.14,4.1275,16.775
"2017-05-12",14.17,4.352,19.255
"2017-05-13",14.21,4.867,21.895
"2017-05-14",14.24,5.3585,20.655
"2017-05-15",14.27,4.899,19.79
"2017-05-16",14.3,5.7755,21.405
"2017-05-17",14.33,5.8505,22.22
"2017-05-18",14.36,6.0485,19.44
"2017-05-19",14.39,6.04,16.875
"2017-05-20",14.42,6.178,20.13
"2017-05-21",14.44,6.3345,18.31
"2017-05-22",14.47,5.9995,21.71
"2017-05-23",14.5,5.554,20.065
"2017-05-24",14.52,5.8975,20.88
"2017-05-25",14.55,6.758,17.465
"2017-05-26",14.57,6.1255,18.2
"2017-05-27",14.59,6.5,21.675
"2017-05-28",14.62,6.6445,21.625
"2017-05-29",14.64,6.3515,20.255
"2017-05-30",14.66,6.3285,18.935
"2017-05-31",14.68,6.747,19.505
"2017-06-01",14.7,7.228,21.8
"2017-06-02",14.72,7.4755,21.895
"2017-06-03",14.73,7.3655,22.545
"2017-06-04",14.75,7.67,20.615
"2017-06-05",14.76,7.583,20.795
"2017-06-06",14.78,7.7765,22.755
"2017-06-07",14.79,8.001,22.38
"2017-06-08",14.81,8.1715,25.44
"2017-06-09",14.82,8.1875,22.615
"2017-06-10",14.83,8.108,20.32
"2017-06-11",14.84,8.2825,23.23
"2017-06-12",14.85,7.9505,23.59
"2017-06-13",14.86,8.226,22.275
"2017-06-14",14.86,8.3945,24.65
"2017-06-15",14.87,8.601,25.575
"2017-06-16",14.87,9.11,24.01
"2017-06-17",14.88,9.205,24.86
"2017-06-18",14.88,9.63,22.605
"2017-06-19",14.88,9.206,24.375
"2017-06-20",14.89,8.78,23.7
"2017-06-21",14.89,8.904,23.69
"2017-06-22",14.88,9.38,24.395
"2017-06-23",14.88,9.5,24.1
"2017-06-24",14.88,9.96,26.925
"2017-06-25",14.88,10.2,26.795
"2017-06-26",14.87,10.42,26.615
"2017-06-27",14.87,10.955,24.76
"2017-06-28",14.86,11.11,25.04
"2017-06-29",14.85,11.37,29.905
"2017-06-30",14.84,11.56,24.005
